Team,Opponent,Week,F Pts,D Pts,G Pts,Total,Result,Fraud,Unlucky,Sum,Rank
Dean,Quinn,1,162.8,85.9,88,336.7,W,0,0,0,1
Quinn,Dean,1,126.6,49.2,32.6,208.4,L,0,0,0,12
Jacob,Anthony,1,131.6,75.1,42.2,248.9,L,0,-1,-1,7
Anthony,Jacob,1,169.9,65.7,17,252.6,W,0,0,0,4
Tim,Leon,1,153.8,59.9,16.4,230.1,L,0,0,0,10
Leon,Tim,1,130.7,44.1,64.2,239,W,1,0,1,8
Ryan,Jack,1,161.1,56.9,46.2,264.2,L,0,-2,-2,3
Jack,Ryan,1,175.5,61.1,35,271.6,W,0,0,0,2
Austin,Raine,1,86,52.4,27.8,166.2,L,0,0,0,14
Raine,Austin,1,149.5,80.5,7.2,237.2,W,1,0,1,9
Andrew,Oscar,1,111.9,76.9,-10,178.8,L,0,0,0,13
Oscar,Andrew,1,111.5,59.6,80.6,251.7,W,0,0,0,5
Lily,Korbin,1,147.8,67.3,11.6,226.7,L,0,0,0,11
Korbin,Lily,1,117.8,84.2,48,250,W,0,0,0,6
Dean,Jacob,2,171.1,121.9,32.8,325.8,L,0,0,0,11
Quinn,Jack,2,189.1,82.9,65.4,337.4,W,1,0,1,9
Jacob,Dean,2,213.3,97.4,60.4,371.1,W,0,0,0,4
Anthony,Andrew,2,317.8,91.5,43,452.3,W,0,0,0,1
Tim,Lily,2,190.4,111.2,55.4,357,W,0,0,0,5
Leon,Austin,2,244.1,65.9,37.6,347.6,W,0,0,0,7
Ryan,Korbin,2,207.9,81.8,24.6,314.3,L,0,0,0,14
Jack,Quinn,2,189.4,89.8,43.6,322.8,L,0,0,0,12
Austin,Leon,2,184.3,82.6,77.6,344.5,L,0,0,0,8
Raine,Oscar,2,211.4,133.2,63.6,408.2,W,0,0,0,3
Andrew,Anthony,2,180.8,85.6,81.4,347.8,L,0,-1,-1,6
Oscar,Raine,2,192.4,104,23.6,320,L,0,0,0,13
Lily,Tim,2,234.3,91.5,2.2,328,L,0,0,0,10
Korbin,Ryan,2,262.9,75.3,74.2,412.4,W,0,0,0,2
Dean,Andrew,3,254.2,89.8,91.4,435.4,W,0,0,0,2
Quinn,Oscar,3,211,103.7,65.6,380.3,W,1,0,1,8
Jacob,Raine,3,249.8,90.7,45.2,385.7,W,0,0,0,6
Anthony,Lily,3,163.1,100.2,64.2,327.5,L,0,0,0,11
Tim,Ryan,3,189.7,135.4,67.6,392.7,L,0,-1,-1,5
Leon,Korbin,3,272.7,137.7,42.4,452.8,W,0,0,0,1
Ryan,Tim,3,249.8,117.1,65.6,432.5,W,0,0,0,3
Jack,Austin,3,162.3,95.1,44.8,302.2,L,0,0,0,14
Austin,Jack,3,263.3,98.5,31.6,393.4,W,0,0,0,4
Raine,Jacob,3,205.5,74.5,28,308,L,0,0,0,13
Andrew,Dean,3,200.3,69,61.8,331.1,L,0,0,0,10
Oscar,Quinn,3,225.7,74.7,34,334.4,L,0,0,0,9
Lily,Anthony,3,239.2,110.9,31.6,381.7,W,0,0,0,7
Korbin,Leon,3,193.5,93.7,26.6,313.8,L,0,0,0,12
Dean,Raine,4,165.3,109.8,26.8,301.9,W,1,0,1,10
Quinn,Andrew,4,164.2,120.4,42,326.6,L,0,-1,-1,6
Jacob,Korbin,4,186.3,104.8,100.2,391.3,W,0,0,0,1
Anthony,Tim,4,198.1,88.7,43.4,330.2,W,0,0,0,5
Tim,Anthony,4,198,86.7,41.4,326.1,L,0,-1,-1,7
Leon,Oscar,4,180.8,118.5,19.4,318.7,L,0,0,0,8
Ryan,Austin,4,144.7,107.6,27.8,280.1,L,0,0,0,12
Jack,Lily,4,159.4,55.1,45.4,259.9,W,2,0,2,13
Austin,Ryan,4,186.9,77.4,45,309.3,W,1,0,1,9
Raine,Dean,4,173.2,68.5,55.2,296.9,L,0,0,0,11
Andrew,Quinn,4,192.2,109.1,36.6,337.9,W,0,0,0,4
Oscar,Leon,4,193.4,104,66.4,363.8,W,0,0,0,2
Lily,Jack,4,158.1,59.4,30.4,247.9,L,0,0,0,14
Korbin,Jacob,4,207.4,91.9,48,347.3,L,0,-2,-2,3
Dean,Jack,5,153.6,96,64.4,314,L,0,0,0,11
Quinn,Raine,5,175.2,53.6,41.8,270.6,L,0,0,0,14
Jacob,Leon,5,190.5,78.3,65.4,334.2,L,0,-1,-1,7
Anthony,Korbin,5,248.9,63,68.6,380.5,W,0,0,0,3
Tim,Oscar,5,204.4,98.8,69,372.2,L,0,-1,-1,5
Leon,Jacob,5,348.3,156.8,36,541.1,W,0,0,0,1
Ryan,Andrew,5,206.6,96.8,24.4,327.8,W,1,0,1,8
Jack,Dean,5,222,91.7,4.6,318.3,W,1,0,1,10
