team,name,position,week,pts
Korbin,Matt Boldy,F,18,105.9
Raine,Connor McDavid,F,11,85.5
Dean,Kirill Kaprizov,F,16,73.4
Jack,Nathan MacKinnon,F,13,71.9
Lily,Sebastian Aho,F,13,71.9
Leon,Nikita Kucherov,F,18,69.7
Anthony,Connor Bedard,F,5,69.5
Andrew,Tage Thompson,F,15,69.4
Raine,Connor McDavid,F,10,69
Jack,Nathan MacKinnon,F,5,68.9
Quinn,Tomas Hertl,F,14,68.5
Quinn,Zach Hyman,F,15,68.3
Oscar,Wyatt Johnston,F,8,68.2
Oscar,Wyatt Johnston,F,5,67
Leon,Macklin Celebrini,F,3,66.3
Anthony,Ilya Sorokin,G,9,66.2
Anthony,Jack Eichel,F,2,66.1
Andrew,Tage Thompson,F,18,65.9
Andrew,Zach Werenski,D,7,65.6
Ryan,Bo Horvat,F,18,65.6
Leon,Leo Carlsson,F,5,65.5
Jack,Brandon Hagel,F,8,65.3
Andrew,Matthew Tkachuk,F,18,65
Ryan,Evan Bouchard,D,18,64.4
Jacob,Matthew Schaefer,D,18,64.3
Dean,Kirill Kaprizov,F,18,64.1
Lily,Martin Necas,F,19,64
Leon,Nikita Kucherov,F,13,63.8
Quinn,Leon Draisaitl,F,18,63.7
Andrew,Tage Thompson,F,10,63.4
Dean,Logan Cooley,F,3,63.1
Leon,Nikita Kucherov,F,17,63
Leon,Miro Heiskanen,D,5,62.9
Raine,Tom Wilson,F,13,62.2
Quinn,Leon Draisaitl,F,11,62
Korbin,Logan Thompson,G,9,61.8
Oscar,Cutter Gautier,F,5,61.8
Raine,Connor McDavid,F,18,61.5
Andrew,Mikko Rantanen,F,5,61.3
Tim,Steven Stamkos,F,18,61.2
Quinn,Timo Meier,F,8,61
Jack,Nathan MacKinnon,F,19,60.8
Jacob,David Pastrnak,F,14,60.8
Austin,Nick Schmaltz,F,18,60.7
Korbin,William Eklund,F,3,60.5
Lily,Clayton Keller,F,18,60.4
Leon,Macklin Celebrini,F,14,60.3
Quinn,Rasmus Andersson,D,7,59.8
Jacob,Lukas Dostal,G,16,59.6
Anthony,Mark Stone,F,14,59.2
Austin,Nick Schmaltz,F,3,59.2
Korbin,Tyler Toffoli,F,14,59
Raine,Connor McDavid,F,14,59
Korbin,Dylan Larkin,F,2,58.9
Oscar,Igor Shesterkin,G,1,58.8
Raine,Connor McDavid,F,6,58.6
Andrew,Zach Werenski,D,11,58.4
Quinn,Andrei Vasilevskiy,G,8,58.4
Quinn,Mathew Barzal,F,18,58.3
Lily,Mikhail Sergachev,D,3,58.2
Anthony,Mark Stone,F,2,58.1
Dean,Rasmus Dahlin,D,10,58.1
Andrew,Tim Stutzle,F,4,57.6
Leon,Macklin Celebrini,F,7,57.6
Tim,Alex DeBrincat,F,6,57.5
Jacob,Mark Scheifele,F,19,57.4
Raine,Tom Wilson,F,8,57.3
Anthony,Brady Tkachuk,F,15,56.9
Dean,Brock Nelson,F,13,56.7
Jacob,David Pastrnak,F,6,56.3
Austin,Drake Batherson,F,4,56
Anthony,Jack Eichel,F,15,55.8
Andrew,Tim Stutzle,F,11,55.6
Lily,Roman Josi,D,18,55.5
Jack,Pavel Dorofeyev,F,18,55.3
Jacob,Alex Ovechkin,F,14,55.3
Ryan,Auston Matthews,F,2,55.1
Jack,Nathan MacKinnon,F,9,55
Austin,Nick Schmaltz,F,2,54.9
Jack,Jake Oettinger,G,9,54.8
Andrew,Tim Stutzle,F,10,54.7
Anthony,Jack Eichel,F,14,54.7
Jacob,Alexis Lafreniere,F,20,54.7
Raine,Jason Robertson,F,8,54.7
Austin,Spencer Knight,G,5,54.6
Dean,Rasmus Dahlin,D,18,54.6
Jacob,Lukas Dostal,G,4,54.6
Oscar,Igor Shesterkin,G,20,54.6
Jacob,Sidney Crosby,F,13,54.4
Lily,Darren Raddysh,D,13,54.1
Andrew,Tage Thompson,F,19,54
Tim,Alex DeBrincat,F,15,53.8
Raine,Morgan Geekie,F,7,53.6
Anthony,Dylan Strome,F,2,53.5
Lily,Filip Forsberg,F,11,53.5
Tim,Alex DeBrincat,F,4,53.5
Andrew,Tim Stutzle,F,18,53.4
Austin,Jack Hughes,F,3,53.4
Dean,Jakub Dobes,G,3,53.4
Tim,Alex DeBrincat,F,10,53.4
Raine,Jakob Chychrun,D,18,53.2
Anthony,Jack Eichel,F,1,52.9
Jack,Artemi Panarin,F,6,52.8
Lily,Connor Ingram,G,15,52.8
Oscar,Cutter Gautier,F,16,52.8
Jack,Nathan MacKinnon,F,8,52.6
Austin,Quinn Hughes,D,18,52.5
Lily,Darren Raddysh,D,18,52.5
Quinn,Josh Morrissey,D,3,52.3
Anthony,Ilya Sorokin,G,14,52.2
Korbin,Matt Boldy,F,11,52.1
Anthony,Dylan Strome,F,16,51.8
Andrew,Zach Werenski,D,4,51.7
Dean,Rasmus Dahlin,D,17,51.7
Leon,Nikita Kucherov,F,19,51.7
Raine,Connor McDavid,F,9,51.7
Ryan,Evan Bouchard,D,16,51.7
Leon,Matthew Knies,F,2,51.5
Austin,Spencer Knight,G,2,51.4
Quinn,Jake Sanderson,D,4,51.1
Dean,Logan Cooley,F,8,51
Jacob,Alex Ovechkin,F,7,51
Oscar,Igor Shesterkin,G,8,51
Anthony,Connor Bedard,F,4,50.8
Lily,Dan Vladar,G,18,50.8
Jack,Nico Hischier,F,8,50.6
Oscar,William Nylander,F,18,50.6
Dean,Cole Caufield,F,15,50.5
Lily,Darren Raddysh,D,17,50.5
Andrew,Jesper Wallstedt,G,7,50.4
Dean,Jakub Dobes,G,17,50.4
Tim,Yaroslav Askarov,G,7,50.4
Lily,Darren Raddysh,D,8,50.3
Lily,Filip Forsberg,F,18,50.3
Korbin,Cale Makar,D,19,50.1
Lily,Darren Raddysh,D,10,50.1
Leon,Nikita Kucherov,F,10,50
Jack,Nathan MacKinnon,F,11,49.9
Jacob,Erik Karlsson,D,10,49.9
Jack,Pavel Dorofeyev,F,1,49.8
Raine,Tom Wilson,F,2,49.8
Dean,Alex Tuch,F,18,49.7
Leon,Elias Pettersson,F,3,49.6
Leon,Macklin Celebrini,F,11,49.4
Jacob,Pavel Zacha,F,19,49.2
Lily,Filip Forsberg,F,19,49.1
Quinn,Leon Draisaitl,F,3,49.1
Raine,Connor McDavid,F,15,49
Korbin,Cole Perfetti,F,18,48.9
Leon,Macklin Celebrini,F,20,48.9
Quinn,Leon Draisaitl,F,19,48.9
Ryan,Auston Matthews,F,13,48.9
Anthony,Ilya Sorokin,G,18,48.8
Ryan,Evan Bouchard,D,15,48.8
Lily,Roman Josi,D,15,48.7
Andrew,Dylan Guenther,F,3,48.5
Lily,Darren Raddysh,D,15,48.5
Tim,Mika Zibanejad,F,15,48.2
Andrew,Mikko Rantanen,F,9,48.1
Leon,Macklin Celebrini,F,19,48.1
Tim,Sam Reinhart,F,13,48.1
Anthony,Dougie Hamilton,D,3,48
Oscar,Joseph Woll,G,14,48
Quinn,Karel Vejmelka,G,14,48
Dean,Kirill Kaprizov,F,1,47.9
Jack,Nathan MacKinnon,F,4,47.9
Korbin,Cale Makar,D,4,47.9
Oscar,Wyatt Johnston,F,3,47.9
Austin,Lucas Raymond,F,6,47.8
Quinn,Jared McCann,F,17,47.8
Quinn,Zach Hyman,F,10,47.7
Andrew,Linus Ullmark,G,11,47.6
Dean,Cole Caufield,F,9,47.6
Leon,Seth Jarvis,F,18,47.6
Raine,Jake Guentzel,F,18,47.6
Quinn,Tomas Hertl,F,11,47.5
Anthony,Ilya Sorokin,G,17,47.4
Dean,Dustin Wolf,G,9,47.4
Korbin,Scott Wedgewood,G,19,47.4
Austin,Quinn Hughes,D,16,47.3
Jack,Nikolaj Ehlers,F,19,47.3
Oscar,Moritz Seider,D,11,47.3
Tim,Mika Zibanejad,F,13,47.3
Andrew,Evgeni Malkin,F,18,47.2
Tim,Steven Stamkos,F,13,47.2
Jacob,Alex Ovechkin,F,18,47
Lily,Ryan O'Reilly,F,18,47
Oscar,William Nylander,F,5,47
Austin,Andrei Svechnikov,F,15,46.9
Jack,Nathan MacKinnon,F,16,46.9
Oscar,Kyle Connor,F,18,46.9
Jack,Nathan MacKinnon,F,10,46.8
Jack,Jake Oettinger,G,20,46.8
Quinn,Vladimir Tarasenko,F,11,46.8
Quinn,Karel Vejmelka,G,18,46.8
Anthony,Brady Tkachuk,F,11,46.7
Oscar,Cutter Gautier,F,19,46.6
Oscar,Moritz Seider,D,6,46.5
Austin,Drake Batherson,F,10,46.4
Jacob,Lukas Dostal,G,18,46.4
Leon,Macklin Celebrini,F,5,46.4
Raine,Jakob Chychrun,D,8,46.4
Raine,Connor McDavid,F,20,46.3
Jack,JJ Peterka,F,9,46.2
Korbin,Logan Thompson,G,8,46.2
Raine,Jason Robertson,F,18,46.2
Leon,Miro Heiskanen,D,18,46.1
Andrew,Dylan Guenther,F,10,46
Dean,Kirill Kaprizov,F,11,46
Oscar,William Nylander,F,2,46
Ryan,Adrian Kempe,F,3,46
Ryan,Adrian Kempe,F,17,46
Dean,Cole Caufield,F,16,45.8
Lily,Martin Necas,F,18,45.8
Jack,Nathan MacKinnon,F,18,45.7
Korbin,Matt Boldy,F,10,45.7
Raine,Jason Robertson,F,6,45.7
Raine,Connor McDavid,F,12,45.7
Tim,Nick Suzuki,F,15,45.7
Oscar,Kyle Connor,F,4,45.6
Tim,Mika Zibanejad,F,6,45.6
Tim,Sam Reinhart,F,11,45.6
Raine,Morgan Geekie,F,16,45.5
Raine,Darcy Kuemper,G,9,45.4
Ryan,Dylan Cozens,F,15,45.3
Tim,Sam Reinhart,F,18,45.3
Anthony,Tyler Bertuzzi,F,13,45.2
Jacob,David Pastrnak,F,16,45.2
Quinn,Josh Morrissey,D,6,45.2
Jacob,David Pastrnak,F,2,45.1
Dean,Kirill Kaprizov,F,5,45
Jack,Lane Hutson,D,15,45
Jack,Nikolaj Ehlers,F,5,44.9
Tim,Steven Stamkos,F,10,44.9
Tim,Nick Suzuki,F,19,44.9
Anthony,Shayne Gostisbehere,D,17,44.8
Austin,Jack Hughes,F,2,44.8
Raine,Jason Robertson,F,19,44.8
Anthony,Connor Bedard,F,7,44.7
Anthony,Connor Bedard,F,8,44.7
Andrew,Charlie Coyle,F,17,44.6
Anthony,Brad Marchand,F,13,44.5
Quinn,Mathew Barzal,F,17,44.5
Austin,Drake Batherson,F,20,44.4
Korbin,Logan Thompson,G,18,44.4
Oscar,Igor Shesterkin,G,6,44.4
Quinn,Zach Hyman,F,11,44.3
Andrew,Tage Thompson,F,3,44.2
Lily,Sebastian Aho,F,15,44.2
Tim,Yaroslav Askarov,G,5,44.2
Andrew,Dylan Guenther,F,20,44.1
Jack,Artemi Panarin,F,13,44.1
Ryan,Bo Horvat,F,5,44.1
Jack,Nathan MacKinnon,F,1,44
Quinn,Timo Meier,F,18,44
Anthony,Brady Tkachuk,F,18,43.9
Korbin,Bryan Rust,F,5,43.9
Leon,Dylan Cozens,F,2,43.9
Tim,Nick Suzuki,F,10,43.9
Tim,Nick Suzuki,F,13,43.9
Leon,Nikita Kucherov,F,12,43.8
Lily,Will Cuylle,F,6,43.8
Quinn,Leon Draisaitl,F,9,43.8
Quinn,Tomas Hertl,F,16,43.8
Raine,Jake Guentzel,F,7,43.8
Tim,Mika Zibanejad,F,20,43.8
Dean,Alex Tuch,F,19,43.7
Leon,Nikita Kucherov,F,15,43.7
Quinn,Jake Sanderson,D,14,43.7
