Week,Dean,Quinn,Jacob,Anthony,Oscar,Andrew,Jack,Ryan,Austin,Raine,Tim,Leon,Lily,Korbin
1,128.3,-128.3,-3.7,3.7,72.9,-72.9,7.4,-7.4,-71,71,-8.9,8.9,-23.3,23.3
2,83,-113.7,41.6,108.2,-15.3,-177.4,-7.2,-105.5,-74.1,159.2,20.1,12,-52.3,121.4
3,187.3,-67.8,119.3,54,-61.2,-281.7,-98.4,-65.7,17.1,81.5,-19.7,151,1.9,-17.6
4,192.3,-79.1,163.3,58.1,-16.1,-270.4,-86.4,-94.9,46.3,76.5,-23.8,105.9,-10.1,-61.6
5,188,-235.7,-43.6,114.1,-9.8,-296.3,-82.1,-69,20,233.1,-30.1,312.8,16.2,-117.6
6,185.8,-194.9,-51.1,114.3,37.7,-279.4,-82.3,-116.5,27.5,313.8,-47,272,18.4,-198.3
7,211.9,-83.3,81,25.4,-94.4,-124.4,-178,-142.6,-63.9,409.5,44.4,360.9,-136.6,-309.9
8,231.2,65.1,125,6.1,-46.3,-168.4,-215.7,-316.5,-212.3,583.4,28.3,398.6,-184.7,-293.8
9,356,100.1,90,-46.4,6.2,-164.7,-34.3,-359.9,-216,584.1,-96.5,397.9,-141.3,-475.2
10,443.3,157.9,187.8,-20.3,-39.4,-89.4,-58.6,-417.7,-170.4,558,-72.2,322.6,-239.1,-562.5
11,476.8,178.1,206.6,-97.1,-3.5,-2.8,-145.2,-436.5,-93.6,628.5,-142.7,289.1,-259.3,-598.4
12,404.7,171.5,212.3,-90.5,68.6,8.3,-217.3,-426.3,-21.5,656,-148.4,278.9,-286.8,-609.5
13,415.8,66.6,179.1,-61,57.5,-78.9,-184.1,-455.8,99,743.2,-43.5,312.3,-320.2,-730
14,218.1,264.3,173.2,-55.1,70.7,-92.1,-145.5,-494.4,105.9,736.3,-34.3,303.1,-307.9,-742.3
15,290.8,370.5,100.5,-29.3,29.7,-117.9,-251.7,-248.1,95.7,777.3,-65.8,313.3,-276.4,-988.6
16,305,428.9,70.8,-21.6,-28.7,-132.1,-267.2,-173.7,111.2,807,-140.2,516.2,-284.1,-1191.5
17,395.3,475.9,213.5,15.6,-252,-179.1,-320.2,-84.5,22,716.7,-177.4,739.5,-231.1,-1334.2
18,440.5,574.8,209.8,74.9,-63.3,-35.5,-365.4,-228.1,-96.8,617.8,-366.1,743.2,-112.3,-1393.5
19,283.7,499.4,204.3,117.7,-85.5,55.2,-408.2,-205.9,-91.3,696.5,-456.8,818.6,44.5,-1472.2
20,314.3,497.9,119.5,131.9,-0.7,86.7,-425.8,-236.5,-0.2,714.1,-547.9,804.4,13,-1470.7
